"anon_sname","age_first_birth","cumulative_adversity","pop_growth_two_years","group_size","lifespan_years","ibi_years","lrs","rain_first_year"
286,6.937713895,1,0.000906469,3,NA,NA,NA,192
287,6.839151266,0,0.000917782,23,NA,NA,NA,484.8
289,5.505817933,3,0.001682521,13,6.22587269,NA,1,390.4
290,5.514031485,0,0.001251408,17,NA,NA,NA,319.2
291,6.247775496,2,0.001054656,29,NA,NA,NA,229.6
293,6.042436687,1,0.001177604,19,NA,NA,NA,263.7
294,6.351813826,2,0.000734178,30,8.123203285,NA,1,342
295,7.225188227,2,0.000742316,4,NA,NA,NA,140.9
296,6.280629706,1,0.001054271,25,NA,NA,NA,221.6
297,6.286105407,0,0.00110333,19,NA,NA,NA,517.9
298,6.600958248,2,0.001210081,20,NA,NA,NA,377.4
299,6.934976044,2,0.000928001,19,NA,NA,NA,372.7
300,6.151950719,1,0.000934671,22,NA,NA,NA,381.1
301,5.571526352,1,0.001084931,16,9.174537988,2.5763175917595,2,297.6
302,5.708418891,1,0.000950541,20,NA,NA,NA,229.6
